gene_id	n_AG	n_GA	mean_alt_ratio_AG	mean_alt_ratio_GA	beta_GA_vs_AG	p_value	q_value	gene_name	gene_product
gene-Ace	5	6	0.640287769784173	0.66728280961183	0.119307743138454	0.738336803528003	0.931443779286643	Ace	angiotensin I converting enzyme
gene-Actr2	9	7	0.491823385118561	0.493701550387597	0.00751424435984565	0.940159665858817	0.986923616171789	Actr2	ARP2 actin-related protein 2 homolog (yeast)
gene-Arpc3	3	4	0.544270833333333	0.464471403812825	-0.319902574428185	0.0133393333991208	0.307119930195962	Arpc3	actin related protein 2/3 complex, subunit 3, 21kDa
gene-Crt	5	4	0.529307282415631	0.540250447227191	0.043987271960575	0.824994090284035	0.956200077429402	Crt	calreticulin
gene-Ecsit	6	4	0.41970802919708	0.514619883040936	0.382468280538565	0.0661392069615322	0.484159663460591	Ecsit	ECSIT signalling integrator
gene-Egfr	9	9	0.489476386036961	0.469568062827225	-0.0797777202884018	0.297645024231014	0.73011828238585	Egfr	epidermal growth factor receptor
gene-LOC105317043	2	0						LOC105317043	uncharacterized LOC105317043
gene-LOC105317044	7	8	0.485556637455372	0.482692307692308	-0.0114689126930848	0.942963616782835	0.986923616171789	LOC105317044	cytoplasmic aconitate hydratase
gene-LOC105317055	7	4	0.462765957446809	0.469194312796209	0.0258333770260814	0.8780250949565	0.972145056479371	LOC105317055	intraflagellar transport protein 56
gene-LOC105317056	9	9	0.493718008375989	0.487794245858762	-0.0237034294644293	0.765301926695784	0.940371751526568	LOC105317056	uncharacterized LOC105317056
gene-LOC105317057	9	5	0.494554772581678	0.493194048749604	-0.00544371574492311	0.892352582621311	0.974573987342426	LOC105317057	wings apart-like protein homolog
gene-LOC105317061	5	5	0.468678901865615	0.454694278464435	-0.0562726633741626	0.72026835093119	0.92396638250688	LOC105317061	myosin essential light chain, striated adductor muscle
gene-LOC105317066	7	7	0.486910994764398	0.44306784660767	-0.17635252886405	0.181356647532705	0.628377311762817	LOC105317066	uncharacterized LOC105317066
gene-LOC105317090	6	4	0.482758620689655	0.445783132530121	-0.148730612357919	0.482587696630904	0.832007866659508	LOC105317090	protein YIPF1
gene-LOC105317098	8	9	0.417008196721311	0.388834476003918	-0.117146838998501	0.574374780509126	0.864065180128293	LOC105317098	polyglutamine-binding protein 1
gene-LOC105317109	5	8	0.47536231884058	0.524822695035461	0.19800307725483	0.381593509371466	0.776325008674766	LOC105317109	thrombospondin type-1 domain-containing protein 4
gene-LOC105317119	7	7	0.638977635782748	0.495073891625616	-0.590634618915028	0.0339899316296932	0.398916388631556	LOC105317119	uncharacterized LOC105317119
gene-LOC105317120	2	7						LOC105317120	dual specificity protein phosphatase 22
gene-LOC105317125	9	9	0.519459238017206	0.50126968004063	-0.0727975552646804	0.528838057414552	0.850893901645363	LOC105317125	phospholipid scramblase 1
gene-LOC105317127	9	9	0.512481644640235	0.540652818991098	0.113034070383812	0.358378680176711	0.760433022088834	LOC105317127	uncharacterized LOC105317127
gene-LOC105317154	9	8	0.44911520064092	0.475275721016932	0.105268444486713	0.160282095655354	0.603496133985916	LOC105317154	insulin-like growth factor 2 mRNA-binding protein 2
gene-LOC105317155	9	9	0.463126843657817	0.473448496481126	0.0414548672496321	0.696477862449586	0.913163926653734	LOC105317155	pyruvate dehydrogenase protein X component, mitochondrial
gene-LOC105317156	8	6	0.547486033519553	0.49438202247191	-0.212991179850192	0.0608620835464522	0.474689812115169	LOC105317156	ubiquinol-cytochrome-c reductase complex assembly factor 1
gene-LOC105317162	8	7	0.370022791258882	0.393172413793103	0.09812255977966	0.536150716778844	0.8533396144995	LOC105317162	adenosylhomocysteinase A
gene-LOC105317169	8	9	0.425170068027211	0.452922077922078	0.112713829089781	0.327611296200707	0.746889986715481	LOC105317169	protein mono-ADP-ribosyltransferase PARP16
gene-LOC105317170	9	9	0.484476752991065	0.491166077738516	0.0267735832984379	0.613147557521119	0.881450453944244	LOC105317170	uncharacterized LOC105317170
gene-LOC105317172	1	5						LOC105317172	adenylate kinase isoenzyme 6
gene-LOC105317173	9	7	0.458333333333333	0.462751281040599	0.0177826533546701	0.880970259427471	0.972650143252954	LOC105317173	uncharacterized protein PF3D7_1120000
gene-LOC105317174	1	0						LOC105317174	G2/mitotic-specific cyclin-B
gene-LOC105317177	9	7	0.46112600536193	0.492753623188406	0.126822894372348	0.36473662505533	0.765048776379248	LOC105317177	cilia- and flagella-associated protein 53
gene-LOC105317178	9	9	0.506666666666667	0.510538641686183	0.0154925637421162	0.923482107682334	0.982341736018234	LOC105317178	coenzyme Q-binding protein COQ10 homolog B, mitochondrial
gene-LOC105317179	9	9	0.479931682322801	0.420792079207921	-0.239206260491225	0.0458379961878841	0.442825921757129	LOC105317179	DNA polymerase kappa
gene-LOC105317181	9	9	0.479089219330855	0.487374011054514	0.0331772443399285	0.563795160571762	0.860204619286716	LOC105317181	ceramide transfer protein
gene-LOC105317188	2	4						LOC105317188	E3 ubiquitin-protein ligase MIB2
gene-LOC105317209	9	8	0.473732297852901	0.524829600778968	0.20456779808216	0.0227539340849757	0.346030383686525	LOC105317209	glycogen-binding subunit 76A
gene-LOC105317217	9	9	0.468949044585987	0.461224489795918	-0.0310502416099938	0.742857634505144	0.931804020791593	LOC105317217	transmembrane protein 164
gene-LOC105317218	9	8	0.361930294906166	0.439068100358423	0.322050915237619	0.369368667952963	0.767599848475588	LOC105317218	uncharacterized LOC105317218
gene-LOC105317219	6	7	0.462834489593657	0.469500924214418	0.0267887950296645	0.777051942887878	0.940371751526568	LOC105317219	methylosome subunit pICln
gene-LOC105317220	8	9	0.484166966534725	0.492957746478873	0.0351824381897678	0.260969774043278	0.700116405353892	LOC105317220	lysine-specific demethylase 6A
gene-LOC105317221	9	9	0.308840413318025	0.420631182289213	0.485363198217013	0.017825488382855	0.321322066580185	LOC105317221	FUN14 domain-containing protein 1
