Name	ID	Sp
gene-ATP6	ATP6	Cgigas
gene-COX1	COX1	Cgigas
gene-COX2	COX2	Cgigas
gene-COX3	COX3	Cgigas
gene-CYTB	CYTB	Cgigas
gene-LOC105317043	unknw-1	Cgigas
gene-LOC105317052	unknw-2	Cgigas
gene-LOC105317115	unknw-3	Cgigas
gene-LOC105317116	unknw-4	Cgigas
gene-LOC105317137	unknw-5	Cgigas
gene-LOC105317166	unknw-6	Cgigas
gene-LOC105317184	unknw-7	Cgigas
gene-LOC105317198	unknw-8	Cgigas
gene-LOC105317235	unknw-9	Cgigas
gene-LOC105317301	unknw-10	Cgigas
gene-LOC105317366	unknw-11	Cgigas
gene-LOC105317425	unknw-12	Cgigas
gene-LOC105317443	unknw-13	Cgigas
gene-LOC105317483	unknw-14	Cgigas
gene-LOC105317504	unknw-15	Cgigas
gene-LOC105317555	unknw-16	Cgigas
gene-LOC105317565	unknw-17	Cgigas
gene-LOC105317585	unknw-18	Cgigas
gene-LOC105317587	unknw-19	Cgigas
gene-LOC105317589	unknw-20	Cgigas
gene-LOC105317657	unknw-21	Cgigas
gene-LOC105317661	unknw-22	Cgigas
gene-LOC105317674	unknw-23	Cgigas
gene-LOC105317675	unknw-24	Cgigas
gene-LOC105317677	unknw-25	Cgigas
gene-LOC105317697	unknw-26	Cgigas
gene-LOC105317741	unknw-27	Cgigas
gene-LOC105317744	unknw-28	Cgigas
gene-LOC105317750	unknw-29	Cgigas
gene-LOC105317771	unknw-30	Cgigas
gene-LOC105317777	unknw-31	Cgigas
gene-LOC105317778	unknw-32	Cgigas
gene-LOC105317823	unknw-33	Cgigas
gene-LOC105317832	unknw-34	Cgigas
gene-LOC105317858	unknw-35	Cgigas
gene-LOC105317879	unknw-36	Cgigas
gene-LOC105317880	unknw-37	Cgigas
gene-LOC105317889	unknw-38	Cgigas
gene-LOC105317938	unknw-39	Cgigas
gene-LOC105318000	unknw-40	Cgigas
gene-LOC105318027	unknw-41	Cgigas
gene-LOC105318073	unknw-42	Cgigas
gene-LOC105318145	unknw-43	Cgigas
gene-LOC105318147	unknw-44	Cgigas
gene-LOC105318185	unknw-45	Cgigas
