gene	ePST	epst_class
ORTHO_000003	0.124769265046858	Regulatory divergence
ORTHO_000004	0.135660730992479	Regulatory divergence
ORTHO_000005	0.458846536554857	Strong divergence
ORTHO_000006	0.0329898185314768	Mostly plastic / shared regulation
ORTHO_000007	0.209695614982885	Regulatory divergence
ORTHO_000008	0.245029144255234	Regulatory divergence
ORTHO_000009	0.306391142690116	Strong divergence
ORTHO_000010	0.399024726208661	Strong divergence
ORTHO_000011	0.0447133009312902	Mostly plastic / shared regulation
ORTHO_000012	0.159564768385894	Regulatory divergence
ORTHO_000013	0.000219273500568783	Mostly plastic / shared regulation
ORTHO_000014	0.192753670374927	Regulatory divergence
ORTHO_000015	0.490896387583158	Strong divergence
ORTHO_000016	0.0988927201760926	Weak differentiation
ORTHO_000017	0.0192893829242606	Mostly plastic / shared regulation
ORTHO_000018	0.141481963516773	Regulatory divergence
ORTHO_000019	0.0171412154429685	Mostly plastic / shared regulation
ORTHO_000020	0.346666895264746	Strong divergence
ORTHO_000021	0.227477027804167	Regulatory divergence
ORTHO_000022	0.286406187851932	Regulatory divergence
ORTHO_000023	0.22970836129031	Regulatory divergence
ORTHO_000024	0.000813964068910362	Mostly plastic / shared regulation
ORTHO_000025	0.627927033148926	Strong divergence
ORTHO_000026	0.0144281068434421	Mostly plastic / shared regulation
ORTHO_000027	0.574053680761275	Strong divergence
ORTHO_000028	0.404782000190695	Strong divergence
ORTHO_000029	0.365197796144798	Strong divergence
ORTHO_000030	0.742211940702399	Strong divergence
ORTHO_000031	0.144507653097412	Regulatory divergence
ORTHO_000032	0.016255592349525	Mostly plastic / shared regulation
ORTHO_000033	0.349622191381192	Strong divergence
ORTHO_000034	0.00490625406727463	Mostly plastic / shared regulation
ORTHO_000035	0.0174293474251778	Mostly plastic / shared regulation
ORTHO_000036	0.156268403567355	Regulatory divergence
ORTHO_000037	0.199049480880731	Regulatory divergence
ORTHO_000038	0.0289800646549905	Mostly plastic / shared regulation
ORTHO_000039	0.50744341027379	Strong divergence
ORTHO_000040	0.47197892434197	Strong divergence
ORTHO_000042	0.00206193685284432	Mostly plastic / shared regulation
ORTHO_000043	0.00639888588208012	Mostly plastic / shared regulation
ORTHO_000044	0.527161364170861	Strong divergence
ORTHO_000045	0.000169296759777707	Mostly plastic / shared regulation
ORTHO_000046	0.699096277386788	Strong divergence
ORTHO_000047	0.62688964635409	Strong divergence
ORTHO_000048	0.423156205847335	Strong divergence
ORTHO_000049	0.243916445360136	Regulatory divergence
ORTHO_000050	0.251099903639972	Regulatory divergence
ORTHO_000051	0.0608718342548716	Weak differentiation
ORTHO_000052	0.135502510517417	Regulatory divergence
ORTHO_000053	0.215164943186155	Regulatory divergence
ORTHO_000054	0.0238614877823845	Mostly plastic / shared regulation
ORTHO_000055	0.348430033116358	Strong divergence
ORTHO_000056	0.189754065765022	Regulatory divergence
ORTHO_000057	0.0187279215195388	Mostly plastic / shared regulation
ORTHO_000058	0.00857049171781418	Mostly plastic / shared regulation
ORTHO_000059	0.231543543638482	Regulatory divergence
ORTHO_000060	0.0124429207968161	Mostly plastic / shared regulation
ORTHO_000061	0.280563964290975	Regulatory divergence
ORTHO_000062	0.0339387693259101	Mostly plastic / shared regulation
ORTHO_000063	0.362054717395906	Strong divergence
ORTHO_000064	0.0123987214473485	Mostly plastic / shared regulation
ORTHO_000065	0.0155083184855487	Mostly plastic / shared regulation
ORTHO_000066	0.141692720953079	Regulatory divergence
ORTHO_000067	0.353430845755753	Strong divergence
ORTHO_000068	0.50318204363939	Strong divergence
ORTHO_000069	0.17388156740945	Regulatory divergence
ORTHO_000070	0.000179425120332021	Mostly plastic / shared regulation
ORTHO_000071	0.44046192403327	Strong divergence
ORTHO_000072	0.62463707077333	Strong divergence
ORTHO_000073	0.296251334222367	Regulatory divergence
ORTHO_000074	0.108274617300983	Weak differentiation
ORTHO_000075	0.535367799132875	Strong divergence
ORTHO_000076	0.0629903577013167	Weak differentiation
ORTHO_000077	0.1646415870715	Regulatory divergence
ORTHO_000078	0.375299989932564	Strong divergence
ORTHO_000079	0.390781867957324	Strong divergence
ORTHO_000080	0.264767189575389	Regulatory divergence
ORTHO_000081	0.0826950350288373	Weak differentiation
ORTHO_000082	0.00189270224558793	Mostly plastic / shared regulation
ORTHO_000083	9.74106863146719e-05	Mostly plastic / shared regulation
ORTHO_000084	0.298760271498021	Regulatory divergence
ORTHO_000085	0.468257170308517	Strong divergence
ORTHO_000086	0.0431008450624123	Mostly plastic / shared regulation
ORTHO_000087	0.0014360287739649	Mostly plastic / shared regulation
ORTHO_000088	0.0433961625045931	Mostly plastic / shared regulation
ORTHO_000089	0.131094162088672	Regulatory divergence
ORTHO_000090	0.46476247223934	Strong divergence
ORTHO_000091	0.212370266718658	Regulatory divergence
ORTHO_000092	0.51348106023407	Strong divergence
ORTHO_000093	0.265671855032564	Regulatory divergence
ORTHO_000094	0.084005491269733	Weak differentiation
ORTHO_000095	0.0820792089176252	Weak differentiation
ORTHO_000097	0.00418964040822966	Mostly plastic / shared regulation
ORTHO_000098	0.378521765206973	Strong divergence
ORTHO_000099	0.620551704672049	Strong divergence
ORTHO_000100	0.000330522203551545	Mostly plastic / shared regulation
ORTHO_000101	0.0566505389799498	Weak differentiation
ORTHO_000102	0.635190496390215	Strong divergence
ORTHO_000103	0.10055434902472	Weak differentiation
ORTHO_000104	0.0011429844511737	Mostly plastic / shared regulation
ORTHO_000105	0.628508508076947	Strong divergence
ORTHO_000106	0.030398914780246	Mostly plastic / shared regulation
ORTHO_000107	4.66940320020617e-06	Mostly plastic / shared regulation
ORTHO_000108	0.170455142279625	Regulatory divergence
ORTHO_000109	0.00447497181676445	Mostly plastic / shared regulation
ORTHO_000110	0.228002098936299	Regulatory divergence
ORTHO_000111	0.150529378203147	Regulatory divergence
ORTHO_000112	0.0240963221066323	Mostly plastic / shared regulation
ORTHO_000113	0.102063043845061	Weak differentiation
ORTHO_000114	0.33791672854348	Strong divergence
ORTHO_000115	0.133138266144266	Regulatory divergence
ORTHO_000116	0.00111450846603413	Mostly plastic / shared regulation
ORTHO_000117	0.00564524672105798	Mostly plastic / shared regulation
ORTHO_000118	0.125837816239023	Regulatory divergence
ORTHO_000119	0.560437916810542	Strong divergence
ORTHO_000120	0.0819770964148372	Weak differentiation
ORTHO_000121	0.266303172527739	Regulatory divergence
ORTHO_000122	0.0293800725286269	Mostly plastic / shared regulation
ORTHO_000123	0.432922264399303	Strong divergence
ORTHO_000124	0.351747057296657	Strong divergence
ORTHO_000125	0.0891436723675401	Weak differentiation
ORTHO_000126	0.146124092118595	Regulatory divergence
ORTHO_000127	0.229825972915082	Regulatory divergence
ORTHO_000128	0.450864937815493	Strong divergence
ORTHO_000129	0.219679175903149	Regulatory divergence
ORTHO_000130	0.0735533693470896	Weak differentiation
ORTHO_000131	0.0783432820157108	Weak differentiation
ORTHO_000132	0.443381814732377	Strong divergence
ORTHO_000133	0.422529150431309	Strong divergence
ORTHO_000134	0.00376170438119501	Mostly plastic / shared regulation
ORTHO_000135	0.00758887940528123	Mostly plastic / shared regulation
ORTHO_000136	0.415209470703835	Strong divergence
ORTHO_000137	0.0137704666302782	Mostly plastic / shared regulation
ORTHO_000138	3.60668388796418e-05	Mostly plastic / shared regulation
ORTHO_000139	0.0314503109318994	Mostly plastic / shared regulation
ORTHO_000140	0.00119160582008462	Mostly plastic / shared regulation
ORTHO_000141	0.00362850735863602	Mostly plastic / shared regulation
ORTHO_000142	0.0336520582014994	Mostly plastic / shared regulation
ORTHO_000143	0.0457885051660587	Mostly plastic / shared regulation
ORTHO_000144	4.66807362039693e-05	Mostly plastic / shared regulation
ORTHO_000145	0.0155689087750841	Mostly plastic / shared regulation
ORTHO_000146	0.0455239007925614	Mostly plastic / shared regulation
ORTHO_000147	0.199711173982391	Regulatory divergence
ORTHO_000148	0.173932979331566	Regulatory divergence
