module	mean_ref	mean_test	delta	p	fdr
MEroyalblue	-0.200307019841005	0.200307019841005	-0.40061403968201	4.11353352529823e-05	0.000617030028794735
MEdarkred	0.197088689854534	-0.197088689854534	0.394177379709069	4.11353352529823e-05	0.000617030028794735
MEcyan	-0.105643349153105	0.105643349153105	-0.21128669830621	0.000164541341011929	0.000987248046071575
MEdarkturquoise	0.174647226746171	-0.174647226746171	0.349294453492342	0.000164541341011929	0.000987248046071575
MEblue	0.199244762886124	-0.199244762886124	0.398489525772247	0.000164541341011929	0.000987248046071575
MEtan	-0.173832750168031	0.173832750168031	-0.347665500336062	0.000287947346770876	0.00143973673385438
MEpurple	-0.156904658583833	0.156904658583832	-0.313809317167665	0.000493624023035788	0.00211553152729623
MElightcyan	-0.139262733524851	0.139262733524851	-0.278525467049703	0.000781571369806664	0.00293089263677499
MEorange	-0.169058531838981	0.169058531838981	-0.338117063677962	0.00123406005758947	0.00411353352529823
MEdarkgreen	0.162537751358685	-0.162537751358685	0.32507550271737	0.0018510900863842	0.00555327025915261
MEturquoise	-0.175840235186897	0.175840235186897	-0.351680470373795	0.00275606746194981	0.00751654762349949
MEblack	0.0985756934285775	-0.0985756934285774	0.197151386857155	0.0187577128753599	0.0432870297123691
MEmidnightblue	0.124601172399146	-0.124601172399145	0.249202344798291	0.0187577128753599	0.0432870297123691
MEsalmon	0.0991156294067946	-0.0991156294067946	0.198231258813589	0.0399835458658988	0.0856790268554974
MElightgreen	0.0750597032387248	-0.0750597032387247	0.15011940647745	0.0625257095845331	0.125051419169066
MEpink	-0.119134780356138	0.119134780356139	-0.238269560712277	0.0770053475935829	0.135891789871029
MEgreenyellow	0.107928732019798	-0.107928732019797	0.215857464039595	0.0770053475935829	0.135891789871029
MEgrey60	-0.059751705930661	0.0597517059306614	-0.119503411861322	0.135911147675854	0.226518579459756
MEskyblue	0.0707651884725639	-0.070765188472564	0.141530376945128	0.222418757712875	0.351187512178224
MElightyellow	-0.0670438060333601	0.0670438060333602	-0.13408761206672	0.297326203208556	0.445989304812834
MEbrown	0.0638651394919229	-0.0638651394919227	0.127730278983846	0.43628136569313	0.523537638831756
MEred	0.0502511137583029	-0.0502511137583028	0.100502227516606	0.43628136569313	0.523537638831756
MEyellow	0.029649145100337	-0.029649145100337	0.0592982902006739	0.43628136569313	0.523537638831756
MEmagenta	-0.0550678259970933	0.0550678259970932	-0.110135651994187	0.386507610037022	0.523537638831756
MEgreen	0.0536750370648578	-0.0536750370648579	0.107350074129716	0.386507610037022	0.523537638831756
MEdarkgrey	0.0540474915256461	-0.0540474915256458	0.108094983051292	0.489428218839983	0.543809132044426
MEsaddlebrown	0.0553789352217579	-0.0553789352217574	0.110757870443515	0.489428218839983	0.543809132044426
MEgrey	0.0560102876936867	-0.0560102876936865	0.112020575387373	0.545701357466063	0.584680025856496
MEwhite	0.0294190695844602	-0.0294190695844602	0.0588381391689205	0.666474701768819	0.68945658803671
MEdarkorange	0.032184376715595	-0.0321843767155949	0.0643687534311899	0.796174413821473	0.796174413821473
