ORTHO_ID	CA_gene	CG_gene
ORTHO_000001	CAmt|cox2	CGmt|cox2
ORTHO_000002	CAmt|nad4	CGmt|nad4
ORTHO_000003	LOC128155130	LOC105320588
ORTHO_000004	LOC128155131	LOC105337559
ORTHO_000005	LOC128155132	LOC136273184
ORTHO_000006	LOC128155133	LOC105337572
ORTHO_000007	LOC128155134	LOC136273181
ORTHO_000008	LOC128155136	LOC105343990
ORTHO_000009	LOC128155137	LOC105337420
ORTHO_000010	LOC128155139	LOC105318607
ORTHO_000011	LOC128155140	LOC105325291
ORTHO_000012	LOC128155141	LOC117681347
ORTHO_000013	LOC128155142	LOC117681234
ORTHO_000014	LOC128155144	LOC136273072
ORTHO_000015	LOC128155145	LOC105324119
ORTHO_000016	LOC128155146	LOC105320959
ORTHO_000017	LOC128155147	LOC105328034
ORTHO_000018	LOC128155148	LOC105318228
ORTHO_000019	LOC128155149	LOC105333050
ORTHO_000020	LOC128155150	LOC105332473
ORTHO_000021	LOC128155151	LOC105341660
ORTHO_000022	LOC128155152	LOC109617373
ORTHO_000023	LOC128155153	LOC105332435
ORTHO_000024	LOC128155155	LOC105332414
ORTHO_000025	LOC128155156	LOC105332422
ORTHO_000026	LOC128155157	LOC105341661
ORTHO_000027	LOC128155154	LOC136272965
ORTHO_000028	LOC128155158	LOC105324234
ORTHO_000029	LOC128155159	LOC105331328
ORTHO_000030	LOC128155160	LOC105331327
ORTHO_000031	LOC128155161	LOC105340892
ORTHO_000032	LOC128155164	LOC105341203
ORTHO_000033	LOC128155163	LOC105333049
ORTHO_000034	LOC128155167	LOC105321000
ORTHO_000035	LOC128155168	LOC105320784
ORTHO_000036	LOC128155169	LOC105346015
ORTHO_000037	LOC128155170	LOC105346017
ORTHO_000038	LOC128155172	LOC105346018
ORTHO_000039	LOC128155173	LOC105322187
ORTHO_000040	LOC128155174	LOC105344505
ORTHO_000041	LOC128155175	LOC105344504
ORTHO_000042	LOC128155176	LOC105317893
ORTHO_000043	LOC128155178	LOC105317894
ORTHO_000044	LOC128155179	LOC105318330
ORTHO_000045	LOC128155180	LOC105327182
ORTHO_000046	LOC128155182	LOC105326741
ORTHO_000047	LOC128155183	LOC105336574
ORTHO_000048	LOC128155185	LOC105317734
ORTHO_000049	LOC128155188	LOC105324945
ORTHO_000050	LOC128155192	LOC105343932
ORTHO_000051	LOC128155184	LOC105341387
ORTHO_000052	LOC128155193	LOC105343931
ORTHO_000053	LOC128155196	LOC105332391
ORTHO_000054	LOC128155200	LOC105325013
ORTHO_000055	LOC128155201	LOC105333885
ORTHO_000056	LOC128155202	LOC105345258
ORTHO_000057	LOC128155203	LOC105345436
ORTHO_000058	LOC128155204	LOC105335334
ORTHO_000059	LOC128155205	LOC105317789
ORTHO_000060	LOC128155206	LOC105317791
ORTHO_000061	LOC128155208	LOC105321561
ORTHO_000062	LOC128155209	LOC105326867
ORTHO_000063	LOC128155212	LOC105340862
ORTHO_000064	LOC128155213	LOC105333309
ORTHO_000065	LOC128155214	LOC105328282
ORTHO_000066	LOC128155215	LOC105334369
ORTHO_000067	LOC128155216	LOC105327336
ORTHO_000068	LOC128155217	LOC105317603
ORTHO_000069	LOC128155218	LOC105327403
ORTHO_000070	LOC128155219	LOC117681822
ORTHO_000071	LOC128155221	LOC109618656
ORTHO_000072	LOC128155222	LOC105340200
ORTHO_000073	LOC128155223	LOC105325095
ORTHO_000074	LOC128155220	LOC136275296
ORTHO_000075	LOC128155224	LOC117681150
ORTHO_000076	LOC128155225	LOC105334852
ORTHO_000077	LOC128155226	LOC105334856
ORTHO_000078	LOC128155228	LOC105334860
ORTHO_000079	LOC128155231	LOC105317595
ORTHO_000080	LOC128155229	LOC105330603
ORTHO_000081	LOC128155232	LOC105342256
ORTHO_000082	LOC128155233	LOC105327013
ORTHO_000083	LOC128155234	LOC105333013
ORTHO_000084	LOC128155235	LOC105325018
ORTHO_000085	LOC128155236	LOC105331277
ORTHO_000086	LOC128155238	LOC105331276
ORTHO_000087	LOC128155240	LOC105348454
ORTHO_000088	LOC128155237	LOC105344094
ORTHO_000089	LOC128155241	LOC105330666
ORTHO_000090	LOC128155242	LOC105345020
ORTHO_000091	LOC128155243	LOC105340865
ORTHO_000092	LOC128155247	LOC105338913
ORTHO_000093	LOC128155248	LOC105345011
ORTHO_000094	LOC128155250	LOC105345051
ORTHO_000095	LOC128155254	LOC105345010
ORTHO_000096	LOC128155251	LOC105332394
ORTHO_000097	LOC128155255	LOC105328891
ORTHO_000098	LOC128155256	LOC105345256
ORTHO_000099	LOC128155257	LOC105329888
ORTHO_000100	LOC128155258	LOC105329841
ORTHO_000101	LOC128155259	LOC105332465
ORTHO_000102	LOC128155260	LOC105342808
ORTHO_000103	LOC128155261	LOC105342807
ORTHO_000104	LOC128155262	LOC105320924
ORTHO_000105	LOC128155263	LOC105320925
ORTHO_000106	LOC128155264	LOC105344233
ORTHO_000107	LOC128155266	LOC136269451
ORTHO_000108	LOC128155267	LOC105344218
ORTHO_000109	LOC128155265	LOC105333443
ORTHO_000110	LOC128155269	LOC105340753
ORTHO_000111	LOC128155270	LOC105340752
ORTHO_000112	LOC128155271	LOC105329634
ORTHO_000113	LOC128155272	LOC105321886
ORTHO_000114	LOC128155275	LOC105327754
ORTHO_000115	LOC128155276	LOC105327756
ORTHO_000116	LOC128155273	LOC105335250
ORTHO_000117	LOC128155277	LOC105327751
ORTHO_000118	LOC128155278	LOC105319734
ORTHO_000119	LOC128155279	LOC105331149
