CAmt|atp6::CM046786.1:9839-10508(+)	CAmt|atp6
CAmt|atp8::CM046786.1:6269-6389(+)	CAmt|atp8
CAmt|cob::CM046786.1:3809-4928(+)	CAmt|cob
CAmt|cox1_0::CM046786.1:96-1365(+)	CAmt|cox1
CAmt|cox1_1::CM046786.1:1336-1597(+)	CAmt|cox1
CAmt|cox1_2::CM046786.1:1592-1625(+)	CAmt|cox1
CAmt|cox2::CM046786.1:5113-5795(+)	CAmt|cox2
CAmt|cox3::CM046786.1:2586-3462(+)	CAmt|cox3
CAmt|nad1::CM046786.1:16959-17889(+)	CAmt|nad1
CAmt|nad2::CM046786.1:11364-12363(+)	CAmt|nad2
CAmt|nad3::CM046786.1:16292-16643(+)	CAmt|nad3
CAmt|nad4::CM046786.1:12639-13947(+)	CAmt|nad4
CAmt|nad4l::CM046786.1:17900-18192(+)	CAmt|nad4l
CAmt|nad5::CM046786.1:13997-15695(+)	CAmt|nad5
CAmt|nad6::CM046786.1:15710-16184(+)	CAmt|nad6
CAmt|rrnL_0::CM046786.1:1671-2483(+)	CAmt|rrnL
CAmt|rrnL_1::CM046786.1:7822-8426(+)	CAmt|rrnL
CAmt|rrnS_0::CM046786.1:6585-7531(+)	CAmt|rrnS
CAmt|rrnS_1::CM046786.1:8664-9610(+)	CAmt|rrnS
CAmt|trnA::CM046786.1:16861-16928(+)	CAmt|trnA
CAmt|trnC::CM046786.1:7643-7711(+)	CAmt|trnC
CAmt|trnD::CM046786.1:5043-5112(+)	CAmt|trnD
CAmt|trnE::CM046786.1:3618-3687(+)	CAmt|trnE
CAmt|trnF::CM046786.1:16779-16846(+)	CAmt|trnF
CAmt|trnG::CM046786.1:10543-10613(+)	CAmt|trnG
CAmt|trnH::CM046786.1:12528-12593(+)	CAmt|trnH
CAmt|trnI::CM046786.1:3462-3530(+)	CAmt|trnI
CAmt|trnK::CM046786.1:7550-7619(+)	CAmt|trnK
CAmt|trnL1::CM046786.1:16677-16743(+)	CAmt|trnL1
CAmt|trnL2::CM046786.1:5993-6060(+)	CAmt|trnL2
CAmt|trnM_0::CM046786.1:5835-5901(+)	CAmt|trnM
CAmt|trnM_1::CM046786.1:6127-6192(+)	CAmt|trnM
CAmt|trnN::CM046786.1:8482-8548(+)	CAmt|trnN
CAmt|trnP::CM046786.1:6443-6503(+)	CAmt|trnP
CAmt|trnQ::CM046786.1:16218-16288(+)	CAmt|trnQ
CAmt|trnR::CM046786.1:12402-12469(+)	CAmt|trnR
CAmt|trnS1::CM046786.1:5907-5977(+)	CAmt|trnS1
CAmt|trnS2::CM046786.1:6197-6269(+)	CAmt|trnS2
CAmt|trnT::CM046786.1:3530-3588(+)	CAmt|trnT
CAmt|trnV::CM046786.1:11256-11323(+)	CAmt|trnV
CAmt|trnW::CM046786.1:18153-18222(+)	CAmt|trnW
CAmt|trnY::CM046786.1:9754-9819(+)	CAmt|trnY
CA|XM_052816693.1	LOC128155130
CA|XM_052816694.1	LOC128155131
CA|XM_052816695.1	LOC128155131
CA|XM_052816696.1	LOC128155132
CA|XM_052816697.1	LOC128155132
CA|XM_052816698.1	LOC128193281
CA|XM_052816699.1	LOC128155133
CA|XM_052816700.1	LOC128155133
